School,Number_of_Games,Total_Attendance,Average_Attendance,ID,
Air,Force,6,"168,967","28,161",
Akron,6,"55,019","9,170",,
Alabama,7,"710,736","101,534",,
Arizona,7,"354,973","50,710",,
Arizona,St.,6,"343,073","57,179",
Arkansas,6,"399,124","66,521",,
Arkansas,St.,6,"149,163","24,861",
Army,West,Point,5,"171,310","34,262"
Auburn,7,"612,157","87,451",,
Ball,St.,6,"56,332","9,389",
Baylor,6,"280,257","46,710",,
Boise,St.,7,"227,526","32,504",
Boston,College,7,"239,893","34,270",
Bowling,Green,6,"91,365","15,228",
Buffalo,6,"122,418","20,403",,
BYU,6,"342,843","57,141",,
California,6,"286,051","47,675",,
Central,Mich.,6,"97,838","16,306",
Cincinnati,6,"173,037","28,840",,
Clemson,7,"572,262","81,752",,
Colorado,6,"226,670","37,778",,
Colorado,St.,6,"159,450","26,575",
Duke,7,"191,039","27,291",,
East,Carolina,6,"268,713","44,786",
Eastern,Mich.,5,"75,127","15,025",
FIU,8,"95,728","11,966",,
Fla.,Atlantic,5,"70,608","14,122",
Florida,6,"515,001","85,834",,
Florida,St.,7,"575,478","82,211",
Fresno,St.,6,"209,257","34,876",
Georgia,7,"649,222","92,746",,
Georgia,St.,6,"90,037","15,006",
Georgia,Tech,6,"291,113","48,519",
Hawaii,7,"192,159","27,451",,
Houston,7,"198,177","28,311",,
Idaho,5,"64,432","12,886",,
Illinois,7,"290,842","41,549",,
Indiana,6,"249,941","41,657",,
Iowa,7,"472,584","67,512",,
Iowa,St.,7,"365,377","52,197",
Kansas,6,"204,462","34,077",,
Kansas,St.,7,"371,565","53,081",
Kent,St.,6,"81,263","13,544",
Kentucky,7,"403,002","57,572",,
La.-Lafayette,6,"154,652","25,775",,
La.-Monroe,5,"90,540","18,108",,
Louisiana,Tech,5,"100,272","20,054",
Louisville,6,"317,829","52,972",,
LSU,7,"712,063","101,723",,
Marshall,7,"192,229","27,461",,
Maryland,6,"281,884","46,981",,
Massachusetts,6,"96,527","16,088",,
Memphis,6,"203,106","33,851",,
School,G,Attendance,Average,,
Miami,(FL),7,"367,623","52,518",
Miami,(OH),6,"95,438","15,906",
Michigan,7,"734,364","104,909",,
Michigan,St.,7,"522,765","74,681",
Middle,Tenn.,6,"104,450","17,408",
Minnesota,7,"335,056","47,865",,
Mississippi,St.,7,"427,892","61,127",
Missouri,7,"456,996","65,285",,
Navy,5,"162,510","32,502",,
Nebraska,7,"638,744","91,249",,
Nevada,6,"143,172","23,862",,
New,Mexico,6,"131,624","21,937",
New,Mexico,St.,6,"73,612","12,269"
North,Carolina,6,"328,000","54,667",
North,Carolina,St.,7,"380,785","54,398"
North,Texas,6,"115,627","19,271",
Northern,Ill.,5,"67,813","13,563",
Northwestern,7,"270,292","38,613",,
Notre,Dame,6,"484,770","80,795",
Ohio,6,"123,090","20,515",,
Ohio,St.,7,"744,075","106,296",
Oklahoma,6,"510,972","85,162",,
Oklahoma,St.,6,"326,324","54,387",
Ole,Miss,7,"430,829","61,547",
Oregon,7,"401,952","57,422",,
Oregon,St.,7,"295,230","42,176",
Penn,St.,7,"711,358","101,623",
Pittsburgh,7,"289,204","41,315",,
Purdue,7,"246,880","35,269",,
Rice,5,"92,812","18,562",,
Rutgers,6,"303,791","50,632",,
San,Diego,St.,7,"226,839","32,406"
San,Jose,St.,5,"75,340","15,068"
SMU,6,"129,169","21,528",,
South,Ala.,6,"104,669","17,445",
South,Carolina,7,"569,664","81,381",
South,Fla.,7,"214,861","30,694",
Southern,California,6,"439,630","73,272",
Southern,Miss.,6,"136,435","22,739",
Stanford,6,"287,174","47,862",,
Syracuse,6,"242,682","40,447",,
TCU,7,"313,036","44,719",,
Temple,6,"140,217","23,370",,
Tennessee,7,"698,276","99,754",,
Texas,6,"564,618","94,103",,
Texas,A&M,6,"630,735","105,123",
Texas,St.,6,"123,589","20,598",
Texas,Tech,6,"353,603","58,934",
Toledo,6,"117,286","19,548",,
Troy,6,"100,602","16,767",,
Tulane,6,"150,074","25,012",,
Tulsa,6,"117,881","19,647",,
UAB,6,"131,047","21,841",,
School,G,Attendance,Average,,
UCF,6,"226,869","37,812",,
UCLA,6,"459,901","76,650",,
UConn,7,"192,230","27,461",,
UNLV,6,"94,043","15,674",,
Utah,6,"278,619","46,437",,
Utah,St.,6,"122,803","20,467",
UTEP,6,"170,260","28,377",,
UTSA,6,"165,458","27,576",,
Vanderbilt,8,"274,063","34,258",,
Virginia,7,"275,243","39,320",,
School,G,Attendance,Average,,
Virginia,Tech,7,"428,099","61,157",
Wake,Forest,6,"163,260","27,210",
Washington,7,"451,555","64,508",,
Washington,St.,6,"184,762","30,794",
West,Virginia,6,"340,117","56,686",
Western,Ky.,6,"97,833","16,306",
Western,Mich.,5,"78,124","15,625",
Wisconsin,7,"556,642","79,520",,
Wyoming,6,"117,593","19,599",,
