School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Air Force,6,"162,505","27,084",
Akron,6,"107,752","17,959",
Alabama,7,"707,817","101,117",
Appalachian St.,7,"166,640","23,806",
Arizona,6,"237,194","39,532",
Arizona St.,7,"344,161","49,166",
Arkansas,7,"356,517","50,931",
Arkansas St.,6,"124,017","20,670",
Army West Point,6,"185,935","30,989",
Auburn,7,"600,355","85,765",
Ball St.,6,"59,545","9,924",
Baylor,7,"318,621","45,517",
Boise St.,7,"224,490","32,070",
Boston College,6,"205,111","34,185",
Bowling Green,6,"91,768","15,295",
Buffalo,6,"98,504","16,417",
BYU,6,"357,281","59,547",
California,6,"254,597","42,433",
Central Mich.,6,"81,386","13,564",
Charlotte,6,"73,915","12,319",
Cincinnati,6,"215,908","35,985",
Clemson,7,"566,074","80,868",
Coastal Carolina,6,"90,112","15,019",
Colorado,6,"297,435","49,573",
Colorado St.,6,"140,025","23,338",
Duke,6,"154,867","25,811",
East Carolina,6,"198,804","33,134",
Eastern Mich.,5,"85,127","17,025",
FIU,6,"83,242","13,874",
Fla. Atlantic,8,"140,857","17,607",
Florida,6,"508,103","84,684",
Florida St.,7,"378,136","54,019",
Fresno St.,6,"189,310","31,552",
Ga. Southern,6,"83,785","13,964",
Georgia,7,"649,722","92,817",
Georgia St.,6,"103,116","17,186",
Georgia Tech,7,"312,194","44,599",
Hawaii,9,"211,090","23,454",
Houston,5,"127,592","25,518",
Illinois,7,"256,110","36,587",
Indiana,6,"247,463","41,244",
Iowa,7,"458,897","65,557",
Iowa St.,7,"418,561","59,794",
Kansas,7,"237,122","33,875",
Kansas St.,7,"341,726","48,818",
Kent St.,5,"64,109","12,822",
Kentucky,8,"425,023","53,128",
La.-Monroe,6,"100,367","16,728",
Liberty,6,"109,631","18,272",
Louisiana,7,"127,418","18,203",
Louisiana Tech,6,"122,631","20,439",
Louisville,6,"299,475","49,913",
LSU,7,"705,892","100,842",
Marshall,7,"162,329","23,190",
Maryland,6,"226,871","37,812",
Massachusetts,6,"56,987","9,498",
Memphis,7,"271,710","38,816",
Miami (FL),6,"316,971","52,829",
Miami (OH),5,"88,969","17,794",
Michigan,7,"780,215","111,459",
Michigan St.,7,"474,731","67,819",
Middle Tenn.,6,"85,516","14,253",
Minnesota,7,"323,330","46,190",
Mississippi St.,7,"393,277","56,182",
Missouri,7,"379,119","54,160",
Navy,6,"191,819","31,970",
NC State,7,"395,264","56,466",
Nebraska,7,"625,436","89,348",
Nevada,6,"97,080","16,180",
New Mexico,6,"94,483","15,747",
New Mexico St.,5,"89,523","17,905",
North Carolina,6,"303,000","50,500",
North Texas,6,"128,150","21,358",
Northern Ill.,5,"42,590","8,518",
Northwestern,7,"264,149","37,736",
Notre Dame,7,"534,017","76,288",
Ohio,6,"99,398","16,566",
Ohio St.,7,"723,679","103,383",
Oklahoma,6,"499,533","83,256",
Oklahoma St.,6,"328,902","54,817",
Old Dominion,6,"109,402","18,234",
Ole Miss,7,"337,631","48,233",
Oregon,7,"375,136","53,591",
Oregon St.,6,"194,546","32,424",
Penn St.,7,"739,747","105,678",
Pittsburgh,7,"303,606","43,372",
Purdue,7,"378,147","54,021",
Rice,7,"155,486","22,212",
Rutgers,7,"210,573","30,082",
San Diego St.,6,"179,376","29,896",
San Jose St.,6,"92,374","15,396",
SMU,6,"141,798","23,633",
South Alabama,6,"97,933","16,322",
South Carolina,7,"545,737","77,962",
South Fla.,7,"222,759","31,823",
Southern California,6,"356,150","59,358",
Southern Miss.,5,"123,826","24,765",
Stanford,7,"259,123","37,018",
Syracuse,6,"252,985","42,164",
TCU,6,"257,288","42,881",
Temple,7,"206,217","29,460",
Tennessee,8,"702,912","87,864",
Texas,6,"577,834","96,306",
Texas A&M,7,"711,258","101,608",
Texas St.,6,"102,840","17,140",
Texas Tech,6,"320,510","53,418",
Toledo,6,"122,393","20,399",
Troy,6,"140,996","23,499",
Tulane,6,"121,628","20,271",
Tulsa,6,"112,443","18,741",
UAB,6,"148,355","24,726",
UCF,6,"262,728","43,788",
UCLA,6,"263,092","43,849",
UConn,6,"109,297","18,216",
UNLV,6,"119,186","19,864",
Utah,7,"325,237","46,462",
Utah St.,6,"117,655","19,609",
UTEP,6,"102,558","17,093",
UTSA,6,"119,424","19,904",
Vanderbilt,7,"184,016","26,288",
Virginia,7,"335,040","47,863",
Virginia Tech,7,"408,049","58,293",
Wake Forest,7,"188,996","26,999",
Washington,7,"477,668","68,238",
Washington St.,6,"171,247","28,541",
West Virgina,6,"335,443","55,907",
Western Ky.,6,"91,148","15,191",
Western Mich.,6,"107,619","17,937",
Wisconsin,7,"535,301","76,472",
Wyoming,6,"138,042","23,007",
