,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,IND,Andrew Luck,QB,22,2018,0,4,5,71,71,86,2000,3290,23671,171,83,332,1590,14,1,4,0,,,,Stanford,College Stats
1,2,WAS,Robert Griffin III,QB,22,2020,0,1,3,37,32,56,799,1268,9271,43,30,307,1809,10,0,0,0,,,,Baylor,College Stats
1,3,CLE,Trent Richardson,RB,22,2014,0,0,3,17,7,46,0,0,0,0,0,614,2032,17,113,912,2,,,,Alabama,College Stats
1,4,MIN,Matt Kalil,T,23,2017,0,1,5,41,34,82,0,0,0,0,0,0,0,0,0,0,0,,,,USC,College Stats
1,5,JAX,Justin Blackmon,WR,22,2014,0,0,1,9,9,20,0,0,0,0,0,3,22,0,93,1280,6,,,,Oklahoma St.,College Stats
1,6,DAL,Morris Claiborne,DB,22,2019,0,0,5,26,15,85,0,0,0,0,0,0,0,0,0,0,0,213,7,,LSU,College Stats
1,7,TAM,Mark Barron,DB,22,2019,0,0,7,39,9,119,0,0,0,0,0,0,0,0,0,0,0,541,9,12,Alabama,College Stats
1,8,MIA,Ryan Tannehill,QB,24,2020,0,1,8,76,49,116,2345,3678,26995,178,88,334,1661,17,4,8,1,,,,Texas A&M,College Stats
1,9,CAR,Luke Kuechly,LB,21,2019,5,7,8,92,92,118,0,0,0,0,0,0,0,0,0,0,0,690,18,12.5,Boston Col.,College Stats
1,10,BUF,Stephon Gilmore,DB,21,2020,2,4,9,68,25,124,0,0,0,0,0,0,0,0,0,0,0,359,25,1,South Carolina,College Stats
1,11,KAN,Dontari Poe,DT,22,2020,0,2,8,57,43,128,1,1,2,1,0,2,2,2,0,0,0,205,,20.5,Memphis,College Stats
1,12,PHI,Fletcher Cox,DT,21,2020,1,6,9,84,84,140,0,0,0,0,0,0,0,0,0,0,0,288,,54.5,Mississippi St.,College Stats
1,13,ARI,Michael Floyd,WR,22,2018,0,0,3,28,27,102,0,0,0,0,0,1,2,0,266,3959,25,,,,Notre Dame,College Stats
1,14,STL,Michael Brockers,DT,21,2020,0,0,9,55,55,138,0,0,0,0,0,0,0,0,0,0,0,250,,28,LSU,College Stats
1,15,SEA,Bruce Irvin,DE,24,2020,0,0,5,42,21,121,0,0,0,0,0,0,0,0,0,0,0,214,3,52,West Virginia,College Stats
1,16,NYJ,Quinton Coples,DE,22,2015,0,0,2,17,17,62,0,0,0,0,0,0,0,0,0,0,0,77,,16.5,North Carolina,College Stats
