School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Michigan,7,"770,183","110,026",
Penn St.,7,"752,972","107,567",
Tennessee,7,"740,521","105,789",
Ohio St.,7,"735,674","105,096",
Georgia,7,"649,222","92,746",
LSU,8,"737,696","92,212",
Alabama,8,"737,104","92,138",
Southern California,6,"548,880","91,480",
Florida,7,"632,866","90,409",
Texas,7,"619,534","88,505",
Auburn,8,"680,506","85,063",
Nebraska,7,"595,309","85,044",
Oklahoma,6,"507,366","84,561",
Clemson,7,"580,942","82,992",
Notre Dame,7,"565,565","80,795",
Florida St.,8,"644,256","80,532",
Texas A&M,7,"531,894","75,985",
South Carolina,7,"529,412","75,630",
Arkansas,6,"443,368","73,895",
Michigan St.,7,"495,731","70,819",
Iowa,7,"494,095","70,585",
Virginia Tech,8,"529,864","66,233",
UCLA,7,"454,683","64,955",
California,7,"450,223","64,318",
Brigham Young,6,"363,146","60,524",
West Virginia,7,"411,408","58,773",
Oregon,6,"350,267","58,378",
Virginia,6,"346,389","57,732",
Washington,6,"344,897","57,483",
Kentucky,7,"401,307","57,330",
North Carolina St,7,"395,779","56,540",
Missouri,7,"391,424","55,918",
Arizona,7,"390,589","55,798",
Purdue,7,"388,198","55,457",
Arizona St.,6,"327,369","54,562",
Mississippi,7,"376,604","53,801",
Minnesota,6,"313,239","52,207",
Texas Tech,6,"305,243","50,874",
Georgia Tech,7,"354,321","50,617",
Maryland,7,"345,752","49,393",
North Carolina,7,"342,000","48,857",
Kansas St.,8,"373,547","46,693",
Iowa St.,7,"323,197","46,171",
Colorado,6,"276,286","46,048",
Kansas,7,"308,961","44,137",
Illinois,7,"304,118","43,445",
Pittsburgh,7,"303,138","43,305",
Utah,6,"259,675","43,279",
UTEP,6,"254,662","42,444",
Miami (Fla.),7,"293,359","41,908",
Stanford,5,"208,710","41,742",
Mississippi St.,7,"290,688","41,527",
Louisville,6,"248,891","41,482",
Rutgers,6,"246,675","41,113",
Oklahoma St.,6,"245,726","40,954",
Oregon St.,7,"285,808","40,830",
Connecticut,7,"272,576","38,939",
Boston College,7,"271,903","38,843",
Fresno St.,6,"231,307","38,551",
Air Force,6,"228,206","38,034",
Syracuse,6,"223,577","37,263",
East Caro.,6,"223,006","37,168",
Baylor,7,"259,559","37,080",
Hawaii,8,"292,708","36,589",
Vanderbilt,6,"209,168","34,861",
Washington St,7,"242,698","34,671",
Navy,5,"166,375","33,275",
Indiana,7,"231,443","33,063",
Wake Forest,6,"195,091","32,515",
Memphis,7,"227,077","32,440",
TCU,6,"191,557","31,926",
UCF,7,"220,980","31,569",
Army,5,"153,469","30,694",
Boise St,6,"182,718","30,453",
South Fla.,6,"181,333","30,222",
San Diego St,6,"175,364","29,227",
Southern Miss.,6,"173,963","28,994",
New Mexico,7,"200,431","28,633",
Northwestern,6,"167,973","27,996",
Marshall,5,"130,155","26,031",
Colorado St,5,"120,916","24,183",
UAB,6,"138,835","23,139",
Middle Tenn. St,5,"110,185","22,037",
Houston,8,"175,277","21,910",
Central Mich.,5,"107,817","21,563",
Tulsa,6,"128,186","21,364",
Troy,5,"104,048","20,810",
Northern Ill.,6,"124,623","20,771",
Cincinnati,7,"142,613","20,373",
Toledo,6,"121,863","20,311",
Duke,7,"137,061","19,580",
UNLV,6,"115,442","19,240",
Wyoming,6,"114,653","19,109",
Arkansas St.,5,"95,344","19,069",
Tulane,5,"94,710","18,942",
San Jose St,7,"131,978","18,854",
Western Mich,5,"93,124","18,625",
La.-Monroe,5,"111,564","18,594",
New Mexico St,7,"123,172","17,596",
Kent St,5,"85,018","17,004",
Bowling Green,4,"67,335","16,834",
Nevada,6,"100,367","16,728",
Ohio,5,"83,622","16,724",
Buffalo,5,"82,084","16,417",
Akron,5,"80,658","16,132",
Temple,4,"63,241","15,810",
North Texas,5,"78,249","15,650",
Southern Methodist,6,"92,565","15,428",
Miami (Ohio),5,"76,219","15,244",
Florida Int'l,5,"75,552","15,110",
Ball St.,6,"90,367","15,061",
Rice,4,"59,041","14,760",
Eastern Mich.,4,"58,934","14,734",
Louisiana Tech,5,"72,928","14,586",
Idaho,5,"72,717","14,543",
La.-Lafayette,6,"87,096","14,516",
Utah St.,5,"56,800","11,360",
Fla. Atlantic,5,"46,382","9,276",
