,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,ARI,Kyler Murray,QB,22,2020,0,1,2,30,30,32,724,1100,7693,46,24,226,1363,15,0,0,0,,,,Oklahoma,College Stats
1,2,SFO,Nick Bosa,DE,21,2020,0,1,1,13,13,18,0,0,0,0,0,0,0,0,0,0,0,35,1,9,Ohio St.,College Stats
1,3,NYJ,Quinnen Williams,DT,21,2020,0,0,2,12,12,26,0,0,0,0,0,0,0,0,0,0,0,47,,9.5,Alabama,College Stats
1,4,OAK,Clelin Ferrell,DE,22,2020,0,0,2,11,11,26,0,0,0,0,0,0,0,0,0,0,0,42,,6.5,Clemson,College Stats
1,5,TAM,Devin White,LB,21,2020,0,0,2,23,23,28,0,0,0,0,0,0,0,0,0,0,0,155,1,11.5,LSU,College Stats
1,6,NYG,Daniel Jones,QB,22,2020,0,0,2,18,18,27,564,907,5970,35,22,110,702,3,0,0,0,,,,Duke,College Stats
1,7,JAX,Josh Allen,LB,22,2020,0,1,1,9,9,24,0,0,0,0,0,0,0,0,0,0,0,38,,13,Kentucky,College Stats
1,8,DET,T.J. Hockenson,TE,22,2020,0,1,1,8,8,28,0,0,0,0,0,1,0,0,99,1090,8,,,,Iowa,College Stats
1,9,BUF,Ed Oliver,DT,21,2020,0,0,1,13,13,32,0,0,0,0,0,0,0,0,0,0,0,47,,8,Houston,College Stats
1,10,PIT,Devin Bush Jr.,LB,21,2020,0,0,0,12,12,21,0,0,0,0,0,0,0,0,0,0,0,88,2,2,Michigan,College Stats
1,11,CIN,Jonah Williams,G,21,2020,0,0,1,4,4,10,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats
1,12,GNB,Rashan Gary,LB,21,2020,0,0,0,5,5,31,0,0,0,0,0,0,0,0,0,0,0,32,,7,Michigan,College Stats
1,13,MIA,Christian Wilkins,DT,23,2020,0,0,2,11,11,30,0,0,0,0,0,0,0,0,1,1,1,58,1,3.5,Clemson,College Stats
1,14,ATL,Chris Lindstrom,G,22,2020,0,0,1,11,11,21,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.,College Stats
1,15,WAS,Dwayne Haskins,QB,22,2020,0,0,0,3,3,16,267,444,2804,12,14,40,147,1,0,0,0,,,,Ohio St.,College Stats
1,16,CAR,Brian Burns,DE,21,2020,0,0,1,11,11,31,0,0,0,0,0,0,0,0,0,0,0,54,,16.5,Florida St.,College Stats
1,17,NYG,Dexter Lawrence,DT,21,2020,0,0,2,15,15,32,0,0,0,0,0,0,0,0,0,0,0,54,,6.5,Clemson,College Stats
1,18,MIN,Garrett Bradbury,C,24,2020,0,0,2,16,16,32,0,0,0,0,0,0,0,0,1,-4,0,,,,North Carolina St.,College Stats
1,19,TEN,Jeffery Simmons,DT,22,2020,0,0,2,11,11,24,0,0,0,0,0,0,0,0,0,0,0,42,,5,Mississippi St.,College Stats
1,20,DEN,Noah Fant,TE,21,2020,0,0,2,8,8,31,0,0,0,0,0,3,-12,0,102,1235,6,,,,Iowa,College Stats
1,21,GNB,Darnell Savage Jr.,S,22,2020,0,0,2,11,11,29,0,0,0,0,0,0,0,0,0,0,0,98,6,1,Maryland,College Stats
1,22,PHI,Andre Dillard,T,23,2019,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,,,,Washington St.,College Stats
1,23,HOU,Tytus Howard,T,23,2020,0,0,2,11,11,22,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama St.,
1,24,OAK,Josh Jacobs,RB,21,2020,0,1,2,16,16,28,0,0,0,0,0,515,2215,19,53,404,0,,,,Alabama,College Stats
1,25,BAL,Marquise Brown,WR,22,2020,0,0,1,17,17,30,0,0,0,0,0,1,1,0,104,1353,15,,,,Oklahoma,College Stats
