School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Air Force,7,"247,122","35,303",
Akron,6,"94,405","15,734",
Alabama,7,"712,747","101,821",
Arizona,6,"293,716","48,953",
Arizona St.,7,"413,051","59,007",
Arkansas,7,"468,933","66,990",
Arkansas St.,6,"127,541","21,257",
Army,4,"133,278","33,320",
Auburn,7,"600,541","85,792",
Ball St.,6,"90,383","15,064",
Baylor,7,"289,574","41,368",
Boise St.,6,"204,110","34,018",
Boston College,6,"214,255","35,709",
Bowling Green,6,"90,039","15,007",
Buffalo,6,"108,118","18,020",
BYU,7,"421,858","60,265",
California,5,"188,285","37,657",
Central Mich.,5,"76,456","15,291",
Cincinnati,6,"193,757","32,293",
Clemson,7,"545,713","77,959",
Colorado,5,"251,777","50,355",
Colorado St.,6,"131,202","21,867",
Connecticut,7,"256,676","36,668",
Duke,7,"170,748","24,393",
East Carolina,6,"300,069","50,012",
Eastern Mich.,6,"25,599","4,267",
FIU,6,"110,465","18,411",
Fla. Atlantic,5,"87,824","17,565",
Florida,7,"623,429","89,061",
Florida St.,7,"544,893","77,842",
Fresno St.,6,"175,787","29,298",
Georgia,6,"555,676","92,613",
Georgia Tech,7,"337,622","48,232",
Hawaii,7,"222,493","31,785",
Houston,7,"222,114","31,731",
Idaho,6,"71,877","11,980",
Illinois,8,"396,380","49,548",
Indiana,6,"248,282","41,380",
Iowa,7,"494,095","70,585",
Iowa St.,6,"321,880","53,647",
Kansas,6,"253,698","42,283",
Kansas St.,7,"343,209","49,030",
Kent St.,6,"69,520","11,587",
Kentucky,7,"420,052","60,007",
La.-Lafayette,5,"145,854","29,171",
La.-Monroe,5,"77,561","15,512",
Louisiana Tech,5,"107,592","21,518",
Louisville,6,"291,225","48,538",
LSU,6,"557,210","92,868",
Marshall,5,"129,371","25,874",
Maryland,7,"296,484","42,355",
Memphis,6,"120,470","20,078",
Miami (FL),7,"340,576","48,654",
Miami (OH),6,"97,043","16,174",
Michigan,8,"897,431","112,179",
Michigan St.,7,"518,545","74,078",
Middle Tenn.,6,"110,440","18,407",
Minnesota,7,"333,996","47,714",
Mississippi St.,6,"335,695","55,949",
Missouri,6,"372,571","62,095",
Navy,5,"173,056","34,611",
Nebraska,7,"596,871","85,267",
Nevada,6,"94,653","15,776",
New Mexico,6,"120,160","20,027",
New Mexico St.,6,"90,830","15,138",
North Carolina,7,"392,000","56,000",
North Carolina St.,7,"394,008","56,287",
North Texas,6,"113,186","18,864",
Northern Ill.,7,"132,323","18,903",
Northwestern,6,"200,649","33,442",
Notre Dame ,6,"484,770","80,795",
Ohio,6,"119,345","19,891",
Ohio St.,7,"736,618","105,231",
Oklahoma,6,"510,967","85,161",
Oklahoma St.,6,"343,376","57,229",
Ole Miss,7,"395,413","56,488",
Oregon,8,"474,753","59,344",
Oregon St.,6,"254,521","42,420",
Penn St.,7,"709,991","101,427",
Pittsburgh,8,"368,022","46,003",
Purdue,7,"316,574","45,225",
Rice,5,"86,643","17,329",
Rutgers,7,"306,327","43,761",
San Diego St.,7,"279,056","39,865",
San Jose St.,5,"91,072","18,214",
SMU,6,"125,364","20,894",
South Carolina,7,"553,915","79,131",
South Fla.,7,"311,848","44,550",
Southern California,7,"523,644","74,806",
Southern Miss.,6,"170,402","28,400",
Stanford,7,"349,976","49,997",
Syracuse,7,"283,528","40,504",
TCU,6,"202,115","33,686",
Temple,7,"196,420","28,060",
Tennessee,8,"757,136","94,642",
Texas,6,"603,142","100,524",
Texas A&M,7,"610,283","87,183",
Texasn Tech,6,"332,081","55,347",
Toledo,6,"132,941","22,157",
Troy,5,"89,492","17,898",
Tulane,6,"118,357","19,726",
Tulsa,6,"135,245","22,541",
UAB,5,"82,893","16,579",
UCF,6,"205,695","34,283",
UCLA,6,"339,861","56,644",
UNLV,5,"105,995","21,199",
Utah,6,"270,894","45,149",
Utah St.,6,"104,813","17,469",
UTEP,6,"158,986","26,498",
Vanderbilt,7,"230,112","32,873",
Virginia,7,"335,582","47,940",
Virginia Tech,6,"397,398","66,233",
Wake Forest,7,"223,769","31,967",
Washington,7,"437,715","62,531",
Washington St.,6,"172,746","28,791",
 Virginia,7,"395,726","56,532",
Western Ky.,7,"116,461","16,637",
Western Mich.,5,"99,926","19,985",
Wisconsin,7,"558,692","79,813",
Wyoming,6,"132,974","22,162",
