,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,CLE,Myles Garrett,DE,21,2020,1,2,4,35,35,51,0,0,0,0,0,0,0,0,0,0,0,107,,42.5,Texas A&M,College Stats
1,2,CHI,Mitchell Trubisky,QB,23,2020,0,1,4,34,34,51,1010,1577,10609,64,37,190,1057,8,0,0,0,,,,North Carolina,College Stats
1,3,SFO,Solomon Thomas,DE,22,2020,0,0,2,13,13,48,0,0,0,0,0,0,0,0,0,0,0,73,,6,Stanford,College Stats
1,4,JAX,Leonard Fournette,RB,22,2020,0,0,3,25,20,49,0,0,0,0,0,763,2998,23,170,1242,2,,,,LSU,College Stats
1,5,TEN,Corey Davis,WR,22,2020,0,0,4,25,25,56,0,0,0,0,0,6,55,0,207,2851,11,,,,Western Michigan,College Stats
1,6,NYJ,Jamal Adams,S,21,2020,1,3,4,36,27,58,0,0,0,0,0,0,0,0,0,0,0,269,2,21.5,LSU,College Stats
1,7,LAC,Mike Williams,WR,22,2020,0,0,2,20,20,56,0,0,0,0,0,9,31,1,151,2516,17,,1,,Clemson,College Stats
1,8,CAR,Christian McCaffrey,RB,21,2020,1,1,3,41,41,51,1,3,50,1,0,682,3145,29,320,2672,16,,,,Stanford,College Stats
1,9,CIN,John Ross,WR,21,2020,0,0,1,5,5,27,0,0,0,0,0,8,25,0,51,733,10,,,,Washington,College Stats
1,10,KAN,Patrick Mahomes,QB,21,2020,1,3,3,54,54,46,1114,1687,14152,114,24,172,808,6,0,0,0,,,,Texas Tech,College Stats
1,11,NOR,Marshon Lattimore,CB,21,2020,0,3,4,27,27,57,0,0,0,0,0,0,0,0,0,0,0,190,10,,Ohio St.,College Stats
1,12,HOU,Deshaun Watson,QB,21,2020,0,3,3,52,52,54,1186,1748,14539,104,36,307,1677,17,1,6,1,,,,Clemson,College Stats
1,13,ARI,Haason Reddick,LB,22,2020,0,0,2,16,16,64,0,0,0,0,0,0,0,0,0,0,0,162,,20,Temple,College Stats
1,14,PHI,Derek Barnett,DE,21,2020,0,0,2,17,17,48,0,0,0,0,0,0,0,0,0,0,0,75,,19.5,Tennessee,College Stats
1,15,IND,Malik Hooker,S,21,2020,0,0,3,13,13,36,0,0,0,0,0,0,0,0,0,0,0,81,7,,Ohio St.,College Stats
1,16,BAL,Marlon Humphrey,CB,21,2020,1,2,3,31,31,61,0,0,0,0,0,0,0,0,0,0,0,184,8,2.5,Alabama,College Stats
1,17,WAS,Jonathan Allen,DE,22,2020,0,0,3,25,25,52,0,0,0,0,0,0,0,0,0,0,0,120,,17,Alabama,College Stats
1,18,TEN,Adoree' Jackson,CB,21,2020,0,0,3,15,15,46,0,0,0,0,0,5,55,0,0,0,0,176,2,,USC,College Stats
