School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Air Force,6,174924,29154,1
Akron,6,117416,19569,2
Alabama,7,712053,101722,3
Appalachian St.,6,154722,25787,4
Arizona,6,255791,42632,5
Arizona St.,7,359660,51380,6
Arkansas,7,442569,63224,7
Arkansas St.,5,119538,23908,8
Army West Point,6,185543,30924,9
Auburn,7,605120,86446,10
Ball St.,6,59395,9899,11
Baylor,6,262978,43830,12
Boise St. ,7,217881,31126,13
Boston College,6,215546,35924,14
Bowling Green,5,79405,15881,15
Buffalo,6,80102,13350,16
BYU,6,337599,56267,17
California,6,219290,36548,18
Central Mich.,5,67520,13504,19
Charlotte,6,71420,11903,20
Cincinnati,6,170603,28434,21
Clemson,7,565412,80773,22
Coastal Caro. ,,,,23
Colorado,6,282335,47056,24
Colorado St. ,6,192369,32062,25
Duke,7,187581,26797,26
East Carolina,7,257090,36727,27
Eastern Mich.,5,73649,14730,28
FIU,7,100002,14286,29
Fla. Atlantic,8,151580,18948,30
Florida,6,520290,86715,31
Florida St.,6,425658,70943,32
Fresno St. ,6,183789,30632,33
Ga. Southern,4,61031,15258,34
Georgia,6,556476,92746,35
Georgia St.,5,79163,15833,36
Georgia Tech,6,281310,46885,37
Hawaii,6,145463,24244,38
Houston,6,195499,32583,39
Idaho,6,63197,10533,40
Illinois,7,276003,39429,41
Indiana,6,263715,43953,42
Iowa,7,464357,66337,43
Iowa St.,6,347586,57931,44
Kansas,7,186490,26641,45
Kansas St. ,7,359107,51301,46
Kent St.,5,65924,13185,47
Kentucky,7,395276,56468,48
La.-Monroe,5,49640,9928,49
Liberty,,,,50
Louisiana,5,78754,15751,51
Louisiana Tech,7,142626,20375,52
Louisville,6,276957,46160,53
LSU,6,591034,98506,54
Marshall,6,130447,21741,55
Maryland,6,237859,39643,56
Massachusetts,6,64242,10707,57
Memphis,8,290416,36302,58
Miami (FL),8,469454,58682,59
Miami (OH),6,98666,16444,60
Michigan,6,669534,111589,61
Michigan St.,7,507398,72485,62
Middle Tenn.,6,93718,15620,63
Minnesota,7,310506,44358,64
Mississippi St.,7,406703,58100,65
Missouri,7,360429,51490,66
Navy,6,209701,34950,67
NC State,6,341100,56850,68
Nebraska,7,628583,89798,69
Nevada,6,100329,16722,70
New Mexico,6,127161,21194,71
New Mexico St.,5,91195,18239,72
North Carolina,7,350500,50071,73
North Carolina St.,,,,74
North Texas,6,134174,22362,75
Northern Ill.,6,67748,11291,76
Northwestern,7,250969,35853,77
Notre Dame,7,543354,77622,78
Ohio,6,116325,19388,79
Ohio St. ,7,752464,107495,80
Oklahoma,6,519119,86520,81
Oklahoma St.,6,340740,56790,82
Old Dominion,6,120708,20118,83
Ole Miss,7,410414,58631,84
Oregon,7,388381,55483,85
Oregon St. ,6,208524,34754,86
Penn St. ,7,746946,106707,87
Pittsburgh,7,254062,36295,88
Purdue,6,287303,47884,89
Rice,5,96770,19354,90
Rutgers,7,278245,39749,91
San Diego St.,7,275428,39347,92
San Jose St. ,6,85235,14206,93
SMU,7,139609,19944,94
South Alabama,6,104070,17345,95
South Carolina,7,550099,78586,96
South Fla.,6,188408,31401,97
Southern California,7,508781,72683,98
Southern Miss.,6,130265,21711,99
Stanford,6,284388,47398,100
Syracuse,7,237504,33929,101
TCU,6,264481,44080,102
Temple,6,163905,27318,103
Tennessee,7,670454,95779,104
Texas,6,556667,92778,105
Texas A&M,7,691612,98802,106
Texas St.,6,104680,17447,107
Texas Tech,6,330390,55065,108
Toledo,6,124470,20745,109
Troy,6,146737,24456,110
Tulane,6,101634,16939,111
Tulsa,6,110751,18459,112
UAB,6,158252,26375,113
UCF,7,257924,36846,114
UCLA,6,336262,56044,115
UConn,6,122007,20335,116
UNLV,6,104692,17449,117
Utah,7,321390,45913,118
Utah St.,6,120650,20108,119
UTEP,5,97740,19548,120
UTSA,5,114104,22821,121
Vanderbilt,7,219390,31341,122
Virginia,7,275788,39398,123
Virginia Tech,6,379284,63214,124
Wake Forest,6,170614,28436,125
Washington,7,481755,68822,126
Washington St.,7,223875,31982,127
West Virginia,6,335678,55946,128
Western Ky.,6,94234,15706,129
Western Mich.,6,95314,15886,130
Wisconsin,7,551766,78824,131
Wyoming,7,144299,20614,132
