School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Michigan,8,"882,115","110,264",
Penn St,7,"762,419","108,917",
Southern St,7,"735,773","105,110",
Tennessee,7,"727,426","103,918",
Georgia,7,"649,222","92,746",
LSU,7,"648,334","92,619",
Alabama,7,"644,966","92,138",
Florida,7,"632,715","90,388",
Southern California,6,"524,855","87,476",
Texas,6,"510,865","85,144",
Oklahoma,7,"594,005","84,858",
Auburn,8,"677,510","84,689",
Nebraska,7,"591,506","84,501",
Texas A&M,7,"575,450","82,207",
Wisconsin,7,"572,227","81,747",
Clemson,7,"569,342","81,335",
Notre Dame,7,"565,745","80,821",
Florida St,5,"402,987","80,597",
South Carolina,7,"549,269","78,467",
UCLA,6,"458,271","76,379",
Iowa,6,"423,510","70,585",
Michigan St,7,"493,779","70,540",
Kentucky,8,"550,588","68,824",
Washington,7,"474,124","67,732",
Virginia Tech,7,"463,631","66,233",
Arkansas,8,"528,260","66,033",
BYU,6,"386,980","64,497",
California,6,"378,816","63,136",
Arizona St.,8,"503,003","62,875",
West Virginia,6,"362,399","60,400",
Missouri,6,"361,393","60,232",
Virginia,6,"358,944","59,824",
Purdue,7,"415,279","59,326",
Oregon,7,"411,915","58,845",
North Carolina,6,"344,500","57,417",
North Carolina St.,7,"394,493","56,356",
Illinois,6,"329,229","54,872",
South Fla.,6,"319,019","53,170",
Arizona,6,"312,963","52,161",
Texas Tech,6,"311,467","51,911",
Minnesota,7,"362,538","51,791",
Maryland,6,"307,580","51,263",
Colorado,6,"303,051","50,509",
Georgia Tech,7,"351,959","50,280",
Mississippi,7,"347,930","49,704",
Iowa St.,7,"346,233","49,462",
Mississippi St.,6,"295,775","49,296",
Kansas St.,6,"284,296","47,383",
Kansas,7,"327,491","46,784",
UCF,7,"308,129","44,018",
Rutgers,8,"349,306","43,663",
Miami (Fla),7,"305,124","43,589",
Hawaii,7,"304,600","43,514",
Utah,6,"255,557","42,593",
Boston College,7,"293,927","41,990",
East Caro,6,"249,219","41,537",
Oregon St,6,"248,244","41,374",
Oklahoma St,6,"240,144","40,024",
Louisville,6,"239,287","39,881",
Stanford,8,"314,657","39,332",
Connecticut,7,"267,435","38,205",
Air Force,6,"228,405","38,068",
Indiana,7,"259,025","37,004",
UTEP,6,"219,411","36,569",
Fresno St.,6,"217,743","36,291",
Syracuse,7,"245,064","35,009",
Vanderbilt,8,"277,034","34,629",
Navy,6,"207,702","34,617",
Baylor,6,"206,266","34,378",
Pittsburgh,7,"233,203","33,315",
Washington St.,6,"198,268","33,045",
Wake Forest,6,"195,570","32,595",
Army,5,"158,559","31,712",
Boise St.,7,"212,366","30,338",
Cincinnati,6,"181,477","30,246",
Marshall,6,"180,120","30,020",
TCU,6,"180,109","30,018",
New Mexico,7,"208,259","29,751",
Memphis,7,"207,688","29,670",
UNLV,6,"175,684","29,281",
Temple,6,"173,151","28,859",
San Diego St.,6,"167,637","27,940",
Southern Miss.,6,"160,324","26,721",
Tulane,7,"182,784","26,112",
Northern Ill.,6,"150,819","25,137",
Northwestern,7,"172,125","24,589",
Tulsa,6,"147,233","24,539",
Wyoming,6,"133,138","22,190",
Colorado St.,6,"130,762","21,794",
Houston,6,"125,730","20,955",
Troy,5,"102,397","20,479",
Duke,5,"100,321","20,064",
Western Mich.,6,"116,963","19,494",
Central Mich.,5,"93,853","18,771",
Toledo,7,"130,675","18,668",
Louisiana Tech.,5,"92,812","18,562",
Middle Tenn.,5,"92,650","18,530",
North Texas,5,"88,672","17,734",
SMU,6,"103,024","17,171",
Nevada,6,"102,524","17,087",
Arkansas St.,6,"102,237","17,040",
UAB,5,"83,529","16,706",
La.-Lafayette,6,"99,904","16,651",
La.-Monroe,5,"83,253","16,651",
Ohio,6,"99,002","16,500",
Akron,5,"81,775","16,355",
Miami (Ohio),5,"80,931","16,186",
Bowling Green,5,"80,398","16,080",
Fla. Atlantic,5,"78,705","15,741",
San Jose St.,5,"77,323","15,465",
New Mexico St.,7,"100,884","14,412",
Buffalo,5,"67,842","13,568",
Rice,6,"80,118","13,353",
Utah St.,5,"65,656","13,131",
Ball St.,5,"65,424","13,085",
Idaho,6,"68,874","11,479",
Kent St.,5,"44,994","8,999",
Florida Int'l,5,"39,909","7,982",
Eastern Mich.,5,"37,241","7,448",
