School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Air Force,6,162505,27084,1
Akron,6,107752,17959,2
Alabama,7,707817,101117,3
Appalachian St.,7,166640,23806,4
Arizona,6,237194,39532,5
Arizona St.,7,344161,49166,6
Arkansas,7,356517,50931,7
Arkansas St.,6,124017,20670,8
Army West Point,6,185935,30989,9
Auburn,7,600355,85765,10
Ball St.,6,59545,9924,11
Baylor,7,318621,45517,12
Boise St. ,7,224490,32070,13
Boston College,6,205111,34185,14
Bowling Green,6,91768,15295,15
Buffalo,6,98504,16417,16
BYU,6,357281,59547,17
California,6,254597,42433,18
Central Mich.,6,81386,13564,19
Charlotte,6,73915,12319,20
Cincinnati,6,215908,35985,21
Clemson,7,566074,80868,22
Coastal Caro.,6,90112,15019,23
Colorado,6,297435,49573,24
Colorado St. ,6,140025,23338,25
Duke,6,154867,25811,26
East Carolina,6,198804,33134,27
Eastern Mich.,5,85127,17025,28
FIU,6,83242,13874,29
Fla. Atlantic,8,140857,17607,30
Florida,6,508103,84684,31
Florida St.,7,378136,54019,32
Fresno St. ,6,189310,31552,33
Ga. Southern,6,83785,13964,34
Georgia,7,649722,92817,35
Georgia St.,6,103116,17186,36
Georgia Tech,7,312194,44599,37
Hawaii,9,211090,23454,38
Houston,5,127592,25518,39
Idaho,,,,40
Illinois,7,256110,36587,41
Indiana,6,247463,41244,42
Iowa,7,458897,65557,43
Iowa St.,7,418561,59794,44
Kansas,7,237122,33875,45
Kansas St. ,7,341726,48818,46
Kent St.,5,64109,12822,47
Kentucky,8,425023,53128,48
La.-Monroe,6,100367,16728,49
Liberty,6,109631,18272,50
Louisiana,7,127418,18203,51
Louisiana Tech,6,122631,20439,52
Louisville,6,299475,49913,53
LSU,7,705892,100842,54
Marshall,7,162329,23190,55
Maryland,6,226871,37812,56
Massachusetts,6,56987,9498,57
Memphis,7,271710,38816,58
Miami (FL),6,316971,52829,59
Miami (OH),5,88969,17794,60
Michigan,7,780215,111459,61
Michigan St.,7,474731,67819,62
Middle Tenn.,6,85516,14253,63
Minnesota,7,323330,46190,64
Mississippi St.,7,393277,56182,65
Missouri,7,379119,54160,66
Navy,6,191819,31970,67
NC State,7,395264,56466,68
Nebraska,7,625436,89348,69
Nevada,6,97080,16180,70
New Mexico,6,94483,15747,71
New Mexico St.,5,89523,17905,72
North Carolina,6,303000,50500,73
North Carolina St. ,,,,74
North Texas,6,128150,21358,75
Northern Ill.,5,42590,8518,76
Northwestern,7,264149,37736,77
Notre Dame,7,534017,76288,78
Ohio,6,99398,16566,79
Ohio St. ,7,723679,103383,80
Oklahoma,6,499533,83256,81
Oklahoma St.,6,328902,54817,82
Old Dominion,6,109402,18234,83
Ole Miss,7,337631,48233,84
Oregon,7,375136,53591,85
Oregon St. ,6,194546,32424,86
Penn St. ,7,739747,105678,87
Pittsburgh,7,303606,43372,88
Purdue,7,378147,54021,89
Rice,7,155486,22212,90
Rutgers,7,210573,30082,91
San Diego St.,6,179376,29896,92
San Jose St. ,6,92374,15396,93
SMU,6,141798,23633,94
South Alabama,6,97933,16322,95
South Carolina,7,545737,77962,96
South Fla.,7,222759,31823,97
Southern California,6,356150,59358,98
Southern Miss.,5,123826,24765,99
Stanford,7,259123,37018,100
Syracuse,6,252985,42164,101
TCU,6,257288,42881,102
Temple,7,206217,29460,103
Tennessee,8,702912,87864,104
Texas,6,577834,96306,105
Texas A&M,7,711258,101608,106
Texas St.,6,102840,17140,107
Texas Tech,6,320510,53418,108
Toledo,6,122393,20399,109
Troy,6,140996,23499,110
Tulane,6,121628,20271,111
Tulsa,6,112443,18741,112
UAB,6,148355,24726,113
UCF,6,262728,43788,114
UCLA,6,263092,43849,115
UConn,6,109297,18216,116
UNLV,6,119186,19864,117
Utah,7,325237,46462,118
Utah St.,6,117655,19609,119
UTEP,6,102558,17093,120
UTSA,6,119424,19904,121
Vanderbilt,7,184016,26288,122
Virginia,7,335040,47863,123
Virginia Tech,7,408049,58293,124
Wake Forest,7,188996,26999,125
Washington,7,477668,68238,126
Washington St.,6,171247,28541,127
West Virginia,6,335443,55907,128
Western Ky.,6,91148,15191,129
Western Mich.,6,107619,17937,130
Wisconsin,7,535301,76472,131
Wyoming,6,138042,23007,132
