,Rnd,Pick,Age,To,CareerAV,DraftedAV,GamesPlayed,Pass Completions,Pass Attempts,Passing Yards,Passing Touchdowns,Thrown Interceptions,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Receptions,Receiving Yards,Receiving Touchdowns,Solo,Interceptions (DEF),Sacks,College,College_code
0,1,1,23.0,2017.0,108.0,61.0,182.0,21.653846153846153,34.65384615384615,254.1043956043956,1.6153846153846154,1.0274725274725274,1.6538461538461537,2.6043956043956045,0.04395604395604396,0.0,0.0,0.0,0.005494505494505495,0.0,0.0,USC,251
1,1,2,22.0,2005.0,4.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,1.1333333333333333,0.0,2.4,29.333333333333332,0.26666666666666666,0.0,0.0,0.0,Michigan St.,134
2,1,3,22.0,2016.0,95.0,93.0,193.0,0.0,0.0,0.0,0.0,0.0,0.11917098445595854,0.27979274611398963,0.0,5.5025906735751295,73.49740932642487,0.3626943005181347,0.0051813471502590676,0.0,0.0,Miami (FL),131
3,1,4,21.0,2008.0,34.0,31.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.119565217391304,0.0,0.17391304347826086,Kentucky,108
4,1,5,25.0,2017.0,71.0,50.0,221.0,0.0,0.0,0.0,0.0,0.0,0.004524886877828055,0.01809954751131222,0.0,0.0,0.0,0.0,3.3891402714932126,0.19004524886877827,0.00904977375565611,Kansas St.,106
5,1,6,22.0,2005.0,10.0,10.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5833333333333333,0.0,0.041666666666666664,Georgia,78
6,1,7,23.0,2012.0,33.0,30.0,60.0,15.5,26.75,175.53333333333333,0.9666666666666667,0.7,2.283333333333333,6.916666666666667,0.16666666666666666,0.016666666666666666,-0.11666666666666667,0.0,0.0,0.0,0.0,Marshall,125
7,1,8,23.0,2013.0,79.0,79.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.0,0.0,Utah,253
8,1,9,23.0,2015.0,99.0,94.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8226600985221675,0.024630541871921183,0.3103448275862069,Oklahoma St.,182
9,1,10,20.0,2019.0,110.0,108.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.581967213114754,0.028688524590163935,0.569672131147541,Arizona St.,13
10,1,11,22.0,2012.0,50.0,50.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.154411764705882,0.15441176470588236,0.014705882352941176,Washington St.,264
11,1,12,23.0,2011.0,15.0,12.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1630434782608696,0.0,0.09239130434782608,Penn St.,187
12,1,13,22.0,2012.0,44.0,44.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3738317757009346,0.0,0.19158878504672897,Texas A&M,235
13,1,14,22.0,2005.0,8.0,8.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.441860465116279,0.023255813953488372,0.12790697674418605,Penn St.,187
14,1,15,24.0,2008.0,3.0,3.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8378378378378378,0.0,0.08108108108108109,Miami (FL),131
15,1,16,22.0,2014.0,94.0,94.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.689873417721519,0.20253164556962025,0.0759493670886076,USC,251
16,1,17,22.0,2011.0,25.0,18.0,139.0,0.0,0.0,0.0,0.0,0.0,0.03597122302158273,-0.05755395683453238,0.0,2.258992805755396,28.33093525179856,0.11510791366906475,0.04316546762589928,0.0,0.0,Penn St.,187
17,1,18,22.0,2015.0,71.0,19.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.513368983957219,0.016042780748663103,0.32085561497326204,Wake Forest,261
18,1,19,22.0,2011.0,17.0,18.0,67.0,12.850746268656716,22.671641791044777,133.29850746268656,0.7164179104477612,0.8059701492537313,2.626865671641791,8.537313432835822,0.029850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,California,34
19,1,20,23.0,2008.0,33.0,27.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Georgia,78
20,1,21,22.0,2012.0,44.0,10.0,125.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.008,-0.008,0.0,0.0,0.0,0.0,Notre Dame,178
21,1,22,23.0,2012.0,23.0,16.0,54.0,15.981481481481481,28.925925925925927,189.4814814814815,1.037037037037037,1.1111111111111112,1.5,1.962962962962963,0.07407407407407407,0.018518518518518517,-0.07407407407407407,0.0,0.0,0.0,0.0,Florida,69
