Institution Year,Conference,Year,Year AvgAttendance,Nullify,Institution,% Attendance Change,Additive Attendance Change,Number of Records,Prior Year AvgAttendance,Prior Year CWS,Prior Year RPI,Prior Year Tournament,Prior Year WL%
Cincinnati 2015,AAC,2015,558,0,Cincinnati,-0.337292162,-284,1,842,0,0.49012,0,0.415094340
East Carolina 2015,AAC,2015,2066,0,East Carolina,-0.050114943,-109,1,2175,0,0.52851,0,0.559322034
Houston 2015,AAC,2015,1725,0,Houston,0.281575037,379,1,1346,0,0.59805,1,0.727272727
Memphis 2015,AAC,2015,794,0,Memphis,0.159124088,109,1,685,0,0.51256,0,0.508474576
South Fla. 2015,AAC,2015,749,0,South Fla.,-0.436842105,-581,1,1330,0,0.49975,0,0.465517241
Tulane 2015,AAC,2015,2059,0,Tulane,0.128219178,234,1,1825,0,0.49874,0,0.442307692
UCF 2015,AAC,2015,1347,0,UCF,-0.048728814,-69,1,1416,0,0.54715,0,0.610169492
UConn 2015,AAC,2015,196,0,UConn,-0.317073171,-91,1,287,0,0.50402,0,0.465517241
Albany (NY) 2015,America East,2015,207,0,Albany (NY),0.072538860,14,1,193,0,0.42895,0,0.266666667
Binghamton 2015,America East,2015,194,0,Binghamton,-0.084905660,-18,1,212,0,0.49497,1,0.480769231
Hartford 2015,America East,2015,236,0,Hartford,-0.223684211,-68,1,304,0,0.50773,0,0.574074074
Maine 2015,America East,2015,325,0,Maine,-0.029850746,-10,1,335,0,0.45438,0,0.42
Stony Brook 2015,America East,2015,158,0,Stony Brook,-0.394636015,-103,1,261,0,0.51323,0,0.660377358
UMass Lowell 2015,America East,2015,156,0,UMass Lowell,-0.093023256,-16,1,172,0,0.46533,0,0.476190476
UMBC 2015,America East,2015,222,0,UMBC,0.48,72,1,150,0,0.44171,0,0.369565217
FGCU 2015,ASUN,2015,318,0,FGCU,-0.398865784,-211,1,529,0,0.52752,0,0.639344262
Jacksonville 2015,ASUN,2015,217,0,Jacksonville,-0.205128205,-56,1,273,0,0.4893,0,0.388888889
Kennesaw St. 2015,ASUN,2015,521,0,Kennesaw St.,-0.003824092,-2,1,523,0,0.54524,1,0.625
Lipscomb 2015,ASUN,2015,329,0,Lipscomb,0.034591195,11,1,318,0,0.49452,0,0.540983607
NJIT 2015,ASUN,2015,176,0,NJIT,-0.228070175,-52,1,228,0,0.39979,0,0.444444444
North Florida 2015,ASUN,2015,324,0,North Florida,-0.181818182,-72,1,396,0,0.48215,0,0.415094340
Stetson 2015,ASUN,2015,648,0,Stetson,-0.006134969,-4,1,652,0,0.48408,0,0.433333333
USC Upstate 2015,ASUN,2015,113,0,USC Upstate,0.008928571,1,1,112,0,0.43604,0,0.309090909
Davidson 2015,Atlantic 10,2015,366,0,Davidson,0.407692308,106,1,260,0,0.51901,0,0.604166667
Dayton 2015,Atlantic 10,2015,159,0,Dayton,-0.220588235,-45,1,204,0,0.46659,0,0.433962264
Fordham 2015,Atlantic 10,2015,163,0,Fordham,-0.094444444,-17,1,180,0,0.45794,0,0.444444444
George Mason 2015,Atlantic 10,2015,264,0,George Mason,1.163934426,142,1,122,0,0.50998,1,0.607142857
George Washington 2015,Atlantic 10,2015,126,0,George Washington,-0.080291971,-11,1,137,0,0.43428,0,0.4
La Salle 2015,Atlantic 10,2015,72,0,La Salle,-0.672727273,-148,1,220,0,0.44556,0,0.295918367
Massachusetts 2015,Atlantic 10,2015,210,0,Massachusetts,0.272727273,45,1,165,0,0.46116,0,0.326086957
Rhode Island 2015,Atlantic 10,2015,161,0,Rhode Island,-0.012269939,-2,1,163,0,0.4296,0,0.245283019
Richmond 2015,Atlantic 10,2015,240,0,Richmond,-0.076923077,-20,1,260,0,0.48329,0,0.462264151
Saint Joseph's 2015,Atlantic 10,2015,212,0,Saint Joseph's,0.024154589,5,1,207,0,0.52192,0,0.686274510
Saint Louis 2015,Atlantic 10,2015,173,0,Saint Louis,0.042168675,7,1,166,0,0.49519,0,0.616071429
St. Bonaventure 2015,Atlantic 10,2015,159,0,St. Bonaventure,0.261904762,33,1,126,0,0.41748,0,0.285714286
VCU 2015,Atlantic 10,2015,461,0,VCU,-0.113461538,-59,1,520,0,0.52571,0,0.649122807
Boston College 2015,Atlantic Coast,2015,551,0,Boston College,0.197826087,91,1,460,0,0.49373,0,0.4
Clemson 2015,Atlantic Coast,2015,3967,0,Clemson,-0.066588235,-283,1,4250,0,0.54079,1,0.590163934
Duke 2015,Atlantic Coast,2015,358,0,Duke,-0.126829268,-52,1,410,0,0.52577,0,0.568965517
Florida St. 2015,Atlantic Coast,2015,4278,0,Florida St.,-0.147638972,-741,1,5019,0,0.59288,1,0.716666667
Georgia Tech 2015,Atlantic Coast,2015,1476,0,Georgia Tech,0.126717557,166,1,1310,0,0.55614,1,0.578125
Louisville 2015,Atlantic Coast,2015,2360,0,Louisville,0.271551724,504,1,1856,1,0.5781,1,0.746268657
Miami (FL) 2015,Atlantic Coast,2015,2665,0,Miami (FL),-0.000375094,-1,1,2666,0,0.57879,1,0.698412698
North Carolina 2015,Atlantic Coast,2015,1721,0,North Carolina,0.094783715,149,1,1572,0,0.55007,1,0.564516129
North Carolina St. 2015,Atlantic Coast,2015,1246,0,North Carolina St.,-0.048854962,-64,1,1310,0,0.53723,0,0.581818182
Notre Dame 2015,Atlantic Coast,2015,515,0,Notre Dame,0.323907455,126,1,389,0,0.48289,0,0.403846154
Pittsburgh 2015,Atlantic Coast,2015,354,0,Pittsburgh,-0.048387097,-18,1,372,0,0.49344,0,0.423076923
Virginia 2015,Atlantic Coast,2015,3645,0,Virginia,-0.028,-105,1,3750,1,0.61116,1,0.768115942
