School,Team,City_State,Current_Conference,Network
Air Force,Falcons,"USAF Academy, CO",Montain West,
Akron,Zips,"Akron, OH",Mid-American,
Alabama,Crimson Tide,"Tuscaloosa, AL",Southeastern,
Appalachian St.,Mountaineers,"Boone, NC",Sun Belt,
Arizona,Wildcats,"Tuscon, AZ",PAC-12,
Arizona St.,Sun Devils,"Tempe, AZ",PAC-12,
Arkansas,Razorbacks,"Fayetteville, AR",Southeastern,
Arkansas St.,Red Wolves,"State University, AR",Sun Belt,
Army West Point,Black Knights,"West Point, NY",Patriot League,
Auburn,Tigers,"Auburn, AL",Southeastern,
Ball St.,Cardinals,"Muncie, IN",Mid-American,
Baylor,Bears,"Waco, TX",Big 12,
Boise St. ,Broncos,"Boise, ID",Mountain West,
Boston College,Eagles,"Chestnut Hill, MA",Atlantic Coast,
Bowling Green,Falcons,"Bowling Green, OH",Mid-American,
Buffalo,Bulls,"Buffalo, NY",Mid-American,
BYU,Cougars,"Provo, UT",West Coast,
California,Golden Bears,"Berkeley, CA",PAC-12,
Central Mich.,Chippewas,"Mount Pleasant, MI",Mid-American,
Charlotte,49ers,"Charlotte, NC",USA,
Cincinnati,Bearcats,"Cincinnati, OH",American Athletic,
Clemson,Tigers,"Clemson, SC",Atlantic Coast,
Coastal Caro.,Chanticleers,"Conway, SC",Sun Belt,
Colorado,Buffaloes,"Boulder, CO",PAC-12,
Colorado St. ,Rams,"Fort Collins, CO",Mountain West,
Duke,Blue Devils,"Durham, NC",Atlantic Coast,
East Carolina,Pirates,"Greenville, NC",American Athletic,
Eastern Mich.,Eagles,"Ypsilanti, MI",Mid-American,
FIU,Panthers,"Miami, FL",USA,
Fla. Atlantic,Owls,"Boca Raton, FL",USA,
Florida,Gators,"Gainsville, FL",Southeastern,
Florida St.,Seminoles,"Tallahassee, FL",Atlantic Coast,
Fresno St. ,Bulldogs,"Fresno, CA",Mountain West,
Ga. Southern,Eagles,"Statesboro, GA",Sun Belt,
Georgia,Bulldogs,"Athens, GA",Southeastern,
Georgia St.,Panthers,"Atlanta, GA",Sun Belt,
Georgia Tech,Yellow Jackets,"Atlanta, GA",Atlantic Coast,
Hawaii,Rainbow Warriors,"Honolulu, HI",Big West,
Houston,Cougars,"Houston, TX",American Athletic,
Illinois,Fighting Illini,"Champaign, IL",Big Ten,
Indiana,Hoosiers,"Bloomington, IN",Big Ten,
Iowa,Hawkeyes,"Iowa City, IA",Big Ten,
Iowa St.,Cyclones,"Ames, IA",Big 12,
Kansas,Jayhawks,"Lawrence, KS",Big 12,
Kansas St. ,Wildcats,"Manhattan, KS",Big 12,
Kent St.,Golden Flashes,"Kent, OH",Mid-American,
Kentucky,Wildcats,"Lexington, KY",Southeastern,
La.-Monroe,Warhawks,"Monroe, LA",Sun Belt,
Liberty,Flames,"Lynchburg, VA",ASUN,
Louisiana,,,,
Louisiana Tech,Bulldogs,"Ruston, LA",USA,
Louisville,Cardinals,,Atlantic Coast,
LSU,Fighting Tigers,"Baton Rouge, LA",Southeastern,
Marshall,Thundering Herd,"Huntington, WV",USA,
Maryland,"Terrapins, Terps","College Park, MD",Big Ten,
Massachusetts,Minutemen,"Amherst, MA",Atlantic 10,
Memphis,Tigers,"Memphis, TN",American Athletic,
Miami (FL),Hurricanes,"Miami, FL",Atlantic Coast,
Miami (OH),Redhawks,"Miami, OH",Mid-American,
Michigan,Wolverines,"Ann Arbor, MI",Big Ten,
Michigan St.,Spartans,"East Lansing, MI",Big Ten,
Middle Tenn.,Blue Raiders,"Murfreesboro, TN",USA,
Minnesota,Golden Gophers,"Minneapolis, MN",Big Ten,
Mississippi St.,Bulldogs,"Mississippi State, MS",Southeastern,
Missouri,Tigers,"Columbia, MO",Southeastern,
Navy,Midshipmen,"Annapolis, MD",Patriot League,
NC State,Wolfpack,"Raleigh, NC",Atlantic Coast,
Nebraska,"Cornhuskers, Huskers","Lincoln, NE",Big Ten,
Nevada,Wolf Pack,"Reno, NV",Mountain West,
New Mexico,Lobos,"Albequerque, NM",Mountain West,
New Mexico St.,Aggies,"Las Cruces, NM",Western Athletic,
North Carolina,Tar Heels,"Chapel Hill, NC",Atlantic Coast,
North Texas,Mean Green,"Denton, TX",Non-NCAA Org,
Northern Ill.,Huskies,"De Kalb, IL",Mid-American,
Northwestern,Wildcats,"Evanston, IL",Big Ten,
Notre Dame,Fighting Irish,"Notr Dame, IN",Atlantic Coast,
Ohio,Bobcats,"Athens, OH",Mid-American,
Ohio St. ,Buckeyes,"Columbus, OH",Big Ten,
Oklahoma,Sooners,"Norman, OK",Big 12,
Oklahoma St.,Cowboys,"Stillwater, OK",Big 12,
Old Dominion,Monarchs,"Norfolk, VA",USA,
Ole Miss,Rebels,"University, MS",Southeastern,
Oregon,Ducks,"Eugene, OR",PAC-12,
Oregon St. ,Beavers,"Corvallis, OR",PAC-12,
Penn St. ,Nittany Lions,"University Park, PA",Big Ten,
Pittsburgh,Panthers,"Pittsburg, PA",Atlantic Coast,
