School,Team,City,State,Current_Conference,ID
Air Force,Falcons,USAF Academy, CO,Montain West,1
Akron,Zips,Akron, OH,Mid-American,2
Alabama,Crimson Tide,Tuscaloosa, AL,Southeastern,3
Appalachian St.,Mountaineers,Boone, NC,Sun Belt,4
Arizona,Wildcats,Tuscon, AZ,PAC-12,5
Arizona St.,Sun Devils,Tempe, AZ,PAC-12,6
Arkansas,Razorbacks,Fayetteville, AR,Southeastern,7
Arkansas St.,Red Wolves,State University, AR,Sun Belt,8
Army West Point,Black Knights,West Point, NY,Patriot League,9
Auburn,Tigers,Auburn, AL,Southeastern,10
Ball St.,Cardinals,Muncie, IN,Mid-American,11
Baylor,Bears,Waco, TX,Big 12,12
Boise St. ,Broncos,Boise, ID,Mountain West,13
Boston College,Eagles,Chestnut Hill, MA,Atlantic Coast,14
Bowling Green,Falcons,Bowling Green, OH,Mid-American,15
Buffalo,Bulls,Buffalo, NY,Mid-American,16
BYU,Cougars,Provo, UT,West Coast,17
California,Golden Bears,Berkeley, CA,PAC-12,18
Central Mich.,Chippewas,Mount Pleasant, MI,Mid-American,19
Charlotte,49ers,Charlotte, NC,USA,20
Cincinnati,Bearcats,Cincinnati, OH,American Athletic,21
Clemson,Tigers,Clemson, SC,Atlantic Coast,22
Coastal Caro.,Chanticleers,Conway, SC,Sun Belt,23
Colorado,Buffaloes,Boulder, CO,PAC-12,24
Colorado St. ,Rams,Fort Collins, CO,Mountain West,25
Duke,Blue Devils,Durham, NC,Atlantic Coast,26
East Carolina,Pirates,Greenville, NC,American Athletic,27
Eastern Mich.,Eagles,Ypsilanti, MI,Mid-American,28
FIU,Panthers,Miami, FL,USA,29
Fla. Atlantic,Owls,Boca Raton, FL,USA,30
Florida,Gators,Gainsville, FL,Southeastern,31
Florida St.,Seminoles,Tallahassee, FL,Atlantic Coast,32
Fresno St. ,Bulldogs,Fresno, CA,Mountain West,33
Ga. Southern,Eagles,Statesboro, GA,Sun Belt,34
Georgia,Bulldogs,Athens, GA,Southeastern,35
Georgia St.,Panthers,Atlanta, GA,Sun Belt,36
Georgia Tech,Yellow Jackets,Atlanta, GA,Atlantic Coast,37
Hawaii,Rainbow Warriors,Honolulu, HI,Big West,38
Houston,Cougars,Houston, TX,American Athletic,39
Idaho,Bengals,Pocatello, ID,Big Sky,40
Illinois,Fighting Illini,Champaign, IL,Big Ten,41
Indiana,Hoosiers,Bloomington, IN,Big Ten,42
Iowa,Hawkeyes,Iowa City, IA,Big Ten,43
Iowa St.,Cyclones,Ames, IA,Big 12,44
Kansas,Jayhawks,Lawrence, KS,Big 12,45
Kansas St. ,Wildcats,Manhattan, KS,Big 12,46
Kent St.,Golden Flashes,Kent, OH,Mid-American,47
Kentucky,Wildcats,Lexington, KY,Southeastern,48
La.-Monroe,Warhawks,Monroe, LA,Sun Belt,49
Liberty,Flames,Lynchburg, VA,Independent,50
Louisiana,Ragin Cajuns,Lafayette, LA,Sun Belt,51
Louisiana Tech,Bulldogs,Ruston, LA,USA,52
