Air Force,6,"166,205","27,701"
Akron,5,"92,575","18,515"
Alabama,7,"710,931","101,562"
Appalachian St.,6,"131,716","21,953"
Arizona,7,"318,051","45,436"
Arizona St.,6,"291,091","48,515"
Arkansas,7,"419,186","59,884"
Arkansas St.,6,"119,001","19,834"
Army  West Point,6,"190,156","31,693"
Auburn,7,"591,236","84,462"
Ball St.,6,"61,725","10,288"
Baylor,6,"248,017","41,336"
Boise St. ,7,"231,474","33,068"
Boston College,7,"263,363","37,623"
Bowling Green,6,"90,264","15,044"
Buffalo,6,"110,280","18,380"
BYU,6,"314,855","52,476"
California,7,"300,061","42,866"
Central Mich.,6,"77,038","12,840"
Charlotte,6,"70,263","11,711"
Cincinnati,6,"183,112","30,519"
Clemson,7,"562,799","80,400"
Coastal Caro.,5,"52,313","10,463"
Colorado,6,"274,852","45,809"
Colorado St. ,6,"177,025","29,504"
Duke,6,"159,878","26,646"
East Carolina,7,"230,356","32,908"
Eastern Mich.,6,"95,632","15,939"
FIU,7,"109,797","15,685"
Fla. Atlantic,6,"102,308","17,051"
Florida,7,"576,299","82,328"
Florida St.,7,"478,013","68,288"
Fresno St. ,6,"189,016","31,503"
Ga. Southern,6,"100,814","16,802"
Georgia,7,"649,222","92,746"
Georgia St.,6,"99,691","16,615"
Georgia Tech,6,"258,523","43,087"
Hawaii,8,"205,455","25,682"
Houston,6,"179,029","29,838"
Illinois,6,"216,907","36,151"
Indiana,7,"286,753","40,965"
Iowa,7,"476,302","68,043"
Iowa St.,7,"392,072","56,010"
Kansas,6,"116,544","19,424"
Kansas St. ,7,"348,165","49,738"
Kent St.,5,"65,590","13,118"
Kentucky,7,"385,820","55,117"
La.-Monroe,5,"71,048","14,210"
Louisiana,6,"111,303","18,551"
Louisiana Tech,5,"87,623","17,525"
Louisville,7,"351,755","50,251"
LSU,7,"705,733","100,819"
Marshall,6,"144,377","24,063"
Maryland,6,"201,562","33,594"
Massachusetts,6,"62,312","10,385"
Memphis,7,"211,247","30,178"
Miami (FL),6,"368,814","61,469"
Miami (OH),6,"85,518","14,253"
Michigan,7,"775,156","110,737"
Michigan St.,7,"508,088","72,584"
Middle Tenn.,6,"93,462","15,577"
Minnesota,7,"265,407","37,915"
Mississippi St.,7,"406,401","58,057"
Missouri,7,"360,261","51,466"
Navy,5,"157,320","31,464"
NC State,7,"397,982","56,855"
Nebraska,7,"623,240","89,034"
Nevada,6,"103,085","17,181"
New Mexico,6,"99,523","16,587"
New Mexico St.,5,"68,529","13,706"
North Carolina,5,"218,111","43,622"
North Texas,6,"140,131","23,355"
Northern Ill.,5,"52,019","10,404"
Northwestern,7,"307,112","43,873"
Notre Dame,6,"465,732","77,622"
Ohio,6,"97,374","16,229"
Ohio St. ,7,"713,630","101,947"
Oklahoma,7,"607,146","86,735"
Oklahoma St.,7,"374,793","53,542"
Old Dominion,6,"117,798","19,633"
Ole Miss,7,"389,794","55,685"
Oregon,7,"371,114","53,016"
Oregon St. ,6,"211,252","35,209"
Penn St. ,7,"738,396","105,485"
Pittsburgh,6,"250,178","41,696"
Purdue,7,"357,839","51,120"
Rice,6,"121,029","20,172"
Rutgers,7,"264,596","37,799"
San Diego St.,7,"220,071","31,439"
San Jose St. ,5,"71,276","14,255"
SMU,6,"116,299","19,383"
South Alabama,6,"96,383","16,064"
South Carolina,7,"515,396","73,628"
South Fla.,6,"231,102","38,517"
Southern California,6,"332,692","55,449"
Southern Miss.,6,"129,690","21,615"
Stanford,6,"227,052","37,842"
Syracuse,6,"222,260","37,043"
TCU,6,"257,205","42,868"
Temple,6,"170,821","28,470"
Tennessee,7,"650,887","92,984"
Texas,6,"586,277","97,713"
Texas A&M,7,"698,908","99,844"
Texas St.,6,"78,689","13,115"
Texas Tech,6,"336,203","56,034"
Toledo,7,"149,462","21,352"
Troy,6,"147,160","24,527"
Tulane,6,"108,090","18,015"
Tulsa,6,"102,590","17,098"
UAB,6,"145,747","24,291"
UCF,8,"352,148","44,019"
UCLA,7,"358,147","51,164"
UConn,6,"125,543","20,924"
UNLV,6,"100,935","16,823"
Utah,6,"277,992","46,332"
Utah St.,6,"112,302","18,717"
UTEP,6,"84,931","14,155"
UTSA,6,"148,257","24,710"
Vanderbilt,7,"196,313","28,045"
Virginia,6,"238,232","39,705"
Virginia Tech,7,"417,019","59,574"
Wake Forest,7,"187,892","26,842"
Washington,6,"414,405","69,068"
Washington St.,7,"210,637","30,091"
West Virginia,6,"348,947","58,158"
Western Ky.,5,"71,157","14,231"
Western Mich.,6,"109,756","18,293"
Wisconsin,7,"540,072","77,153"
Wyoming,6,"113,277","18,880"
