School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Air Force,6,"162,505","27,084",1
Akron,6,"107,752","17,959",2
Alabama,7,"707,817","101,117",3
Appalachian St.,7,"166,640","23,806",4
Arizona,6,"237,194","39,532",5
Arizona St.,7,"344,161","49,166",6
Arkansas,7,"356,517","50,931",7
Arkansas St.,6,"124,017","20,670",8
Army West Point,6,"185,935","30,989",9
Auburn,7,"600,355","85,765",10
Ball St.,6,"59,545","9,924",11
Baylor,7,"318,621","45,517",12
Boise St. ,7,"224,490","32,070",13
Boston College,6,"205,111","34,185",14
Bowling Green,6,"91,768","15,295",15
Buffalo,6,"98,504","16,417",16
BYU,6,"357,281","59,547",17
California,6,"254,597","42,433",18
Central Mich.,6,"81,386","13,564",19
Charlotte,6,"73,915","12,319",20
Cincinnati,6,"215,908","35,985",21
Clemson,7,"566,074","80,868",22
Coastal Caro.,6,"90,112","15,019",23
Colorado,6,"297,435","49,573",24
Colorado St. ,6,"140,025","23,338",25
Duke,6,"154,867","25,811",26
East Carolina,6,"198,804","33,134",27
Eastern Mich.,5,"85,127","17,025",28
FIU,6,"83,242","13,874",29
Fla. Atlantic,8,"140,857","17,607",30
Florida,6,"508,103","84,684",31
Florida St.,7,"378,136","54,019",32
Fresno St. ,6,"189,310","31,552",33
Ga. Southern,6,"83,785","13,964",34
Georgia,7,"649,722","92,817",35
Georgia St.,6,"103,116","17,186",36
Georgia Tech,7,"312,194","44,599",37
Hawaii,9,"211,090","23,454",38
Houston,5,"127,592","25,518",39
Idaho,,,,40
Illinois,7,"256,110","36,587",41
Indiana,6,"247,463","41,244",42
Iowa,7,"458,897","65,557",43
Iowa St.,7,"418,561","59,794",44
Kansas,7,"237,122","33,875",45
Kansas St. ,7,"341,726","48,818",46
Kent St.,5,"64,109","12,822",47
Kentucky,8,"425,023","53,128",48
La.-Monroe,6,"100,367","16,728",49
Liberty,6,"109,631","18,272",50
Louisiana,7,"127,418","18,203",51
Louisiana Tech,6,"122,631","20,439",52
Louisville,6,"299,475","49,913",53
LSU,7,"705,892","100,842",54
Marshall,7,"162,329","23,190",55
Maryland,6,"226,871","37,812",56
Massachusetts,6,"56,987","9,498",57
Memphis,7,"271,710","38,816",58
Miami (FL),6,"316,971","52,829",59
Miami (OH),5,"88,969","17,794",60
Michigan,7,"780,215","111,459",61
Michigan St.,7,"474,731","67,819",62
Middle Tenn.,6,"85,516","14,253",63
Minnesota,7,"323,330","46,190",64
Mississippi St.,7,"393,277","56,182",65
Missouri,7,"379,119","54,160",66
Navy,6,"191,819","31,970",67
NC State,7,"395,264","56,466",68
Nebraska,7,"625,436","89,348",69
Nevada,6,"97,080","16,180",70
New Mexico,6,"94,483","15,747",71
New Mexico St.,5,"89,523","17,905",72
North Carolina,6,"303,000","50,500",73
North Carolina St. ,,,,74
North Texas,6,"128,150","21,358",75
Northern Ill.,5,"42,590","8,518",76
Northwestern,7,"264,149","37,736",77
Notre Dame,7,"534,017","76,288",78
Ohio,6,"99,398","16,566",79
Ohio St. ,7,"723,679","103,383",80
Oklahoma,6,"499,533","83,256",81
Oklahoma St.,6,"328,902","54,817",82
Old Dominion,6,"109,402","18,234",83
Ole Miss,7,"337,631","48,233",84
Oregon,7,"375,136","53,591",85
Oregon St. ,6,"194,546","32,424",86
Penn St. ,7,"739,747","105,678",87
Pittsburgh,7,"303,606","43,372",88
Purdue,7,"378,147","54,021",89
Rice,7,"155,486","22,212",90
Rutgers,7,"210,573","30,082",91
San Diego St.,6,"179,376","29,896",92
San Jose St. ,6,"92,374","15,396",93
SMU,6,"141,798","23,633",94
South Alabama,6,"97,933","16,322",95
South Carolina,7,"545,737","77,962",96
South Fla.,7,"222,759","31,823",97
Southern California,6,"356,150","59,358",98
Southern Miss.,5,"123,826","24,765",99
Stanford,7,"259,123","37,018",100
Syracuse,6,"252,985","42,164",101
TCU,6,"257,288","42,881",102
Temple,7,"206,217","29,460",103
Tennessee,8,"702,912","87,864",104
Texas,6,"577,834","96,306",105
Texas A&M,7,"711,258","101,608",106
Texas St.,6,"102,840","17,140",107
Texas Tech,6,"320,510","53,418",108
Toledo,6,"122,393","20,399",109
Troy,6,"140,996","23,499",110
Tulane,6,"121,628","20,271",111
Tulsa,6,"112,443","18,741",112
UAB,6,"148,355","24,726",113
UCF,6,"262,728","43,788",114
UCLA,6,"263,092","43,849",115
UConn,6,"109,297","18,216",116
UNLV,6,"119,186","19,864",117
Utah,7,"325,237","46,462",118
Utah St.,6,"117,655","19,609",119
UTEP,6,"102,558","17,093",120
UTSA,6,"119,424","19,904",121
Vanderbilt,7,"184,016","26,288",122
Virginia,7,"335,040","47,863",123
Virginia Tech,7,"408,049","58,293",124
Wake Forest,7,"188,996","26,999",125
Washington,7,"477,668","68,238",126
Washington St.,6,"171,247","28,541",127
West Virginia,6,"335,443","55,907",128
Western Ky.,6,"91,148","15,191",129
Western Mich.,6,"107,619","17,937",130
Wisconsin,7,"535,301","76,472",131
Wyoming,6,"138,042","23,007",132
