School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Air Force,6,156158,26026,1
Akron,6,108588,18098,2
Alabama,7,707786,101112,3
Appalachian St.,6,128755,21459,4
Arizona,6,308355,51393,5
Arizona St.,7,368985,52712,6
Arkansas,7,471279,67326,7
Arkansas St.,6,138043,23007,8
Army West Point,6,185946,30991,9
Auburn,7,612157,87451,10
Ball St.,6,47841,7974,11
Baylor,6,276960,46160,12
Boise St.,6,201669,33612,13
Boston College,7,211433,30205,14
Bowling Green,5,98042,19608,15
Buffalo,6,110743,18457,16
BYU,6,351191,58532,17
California,6,292797,48800,18
Central Mich.,6,94029,15672,19
Charolotte,,,,20
Cincinnati,6,222578,37096,21
Clemson,7,588266,84038,22
Coastal Caro.,,,,23
Colorado,6,236331,39389,24
Colorado St.,6,149500,24917,25
Duke,6,158562,26427,26
East Carolina,6,259645,43274,27
Eastern  Mich,6,29381,4897,28
FIU,5,76907,15381,29
Fla. Atlantic,6,105703,17617,30
Florida,7,630457,90065,31
Florida St.,7,512534,73219,32
Fresno St.,6,174217,29036,33
Ga. Southern,6,124681,20780,34
Georgia,7,649222,92746,35
Georgia St.,6,62081,10347,36
Georgia Tech,7,354946,50707,37
Hawaii,7,164031,23433,38
Houston,8,271836,33980,39
Idaho,6,69915,11653,40
Illinois,7,289397,41342,41
Indiana,7,310195,44314,42
Iowa,7,441992,63142,43
Iowa St.,6,339113,56519,44
Kansas,7,190972,27282,45
Kansas St.,7,371698,53100,46
Kent St.,6,75366,12561,47
Kentucky,8,490361,61295,48
La.-Monroe,5,58659,11732,49
Liberty,,,,50
Louisiana Tech,6,125863,20977,51
Louisville,6,294413,49069,52
LSU,6,612026,102004,53
Marshall,6,157930,26322,54
Maryland,7,310389,44341,55
Massachusetts,6,66743,11124,56
Memphis,6,262811,43802,57
Miami (FL),6,285363,47561,58
Miami (OH),6,94241,15707,59
Michigan,7,771174,110168,60
Michigan St.,7,522628,74661,61
Middle Tenn.,6,103258,17210,62
Minnesota,7,366484,52355,63
Mississippi St.,7,432490,61784,64
Missouri,6,390720,65120,65
Navy,7,226366,32338,66
NC State,,,,67
Nebraska,7,629983,89998,68
Nevada,6,133022,22170,69
New Mexico,8,188224,23528,70
New Mexico St. ,5,87429,17486,71
North Carolina,7,347500,49643,72
North Carolina St.,6,341928,56988,73
North Texas,5,68155,13631,74
Northern Ill.,6,83649,13942,75
Northwestern,7,233560,33366,76
Notre Dame,6,484770,80795,77
Ohio,6,127938,21323,78
Ohio St.,7,750705,107244,79
Oklahoma,6,512139,85357,80
Oklahoma St.,7,403678,57668,81
Old Dominion,7,140826,20118,82
Ole Miss,7,423355,60479,83
Oregon,7,403419,57631,84
Oregon St.,6,216476,36079,85
Penn St.,7,698590,99799,86
Pittsburgh,6,288900,48150,87
Purdue,7,262559,37508,88
Rice,6,116034,19339,89
Rutgers,7,334061,47723,90
San Diego St.,7,203459,29066,91
San Jose St.,6,91869,15312,92
SMU,7,147301,21043,93
South Ala.,6,96234,16039,94
South Carolina,6,472934,78822,95
South Fla.,6,159468,26578,96
Southern California,7,527506,75358,97
Southern Miss.,6,170007,28335,98
Stanford,7,349417,49917,99
Syracuse,7,224717,32102,100
TCU,6,280604,46767,101
Temple,6,264951,44159,102
Tennessee,7,704088,100584,103
Texas,6,540210,90035,104
Texas A&M,7,725354,103622,105
Texas St.,6,108998,18166,106
Texas Tech,6,338042,56340,107
Toledo,6,125051,20842,108
Troy,5,96993,19399,109
Tulane,6,137577,22930,110
Tulsa,6,117730,19622,111
UAB,,,,112
UCF,6,180388,30065,113
UCLA,6,401149,66858,114
Uconn,6,169343,28224,115
UNLV,6,116228,19371,116
Utah,7,325732,46533,117
Utah St.,6,128172,21362,118
UTEP,5,116058,23212,119
UTSA,6,138048,23008,120
Vanderbilt,6,192802,32134,121
Virginia,7,302994,43285,122
Virginia Tech,6,364942,60824,123
Wake Forest,6,160043,26674,124
Washington,7,433432,61919,125
Washington St.,6,176444,29407,126
West Virginia,7,383779,54826,127
Western Ky.,6,107759,17960,128
Western Mich.,6,116646,19441,129
Wisconsin,7,546099,78014,130
Wyoming,6,108361,18060,131
,,,,132
